IgnacioF,36,*,50,94.5368230343
IgnacioF,94,*,37,110.7454051971
IgnacioF,9,-,36,16.0781338215
IgnacioF,25,/,84,5.6254165173
IgnacioF,39,/,90,3.6431806087
IgnacioF,54,+,59,6.3498318195
IgnacioF,56,+,45,10.578774929
IgnacioF,16,+,91,7.0091481209
IgnacioF,37,-,33,11.5875914097
IgnacioF,46,+,78,11.5625338554
IgnacioF,63,+,76,9.0316061974
IgnacioF,96,-,98,4.2767455578
IgnacioF,16,+,86,7.9514825344
IgnacioF,10,-,35,4.0742151737
IgnacioF,16,/,31,3.2928953171
IgnacioF,14,/,31,2.881187439
IgnacioF,17,/,26,2.8052690029
IgnacioF,82,/,18,17.0975773335
IgnacioF,64,+,64,10.9720993042
IgnacioF,29,+,3,3.7773778439
IgnacioF,50,*,43,39.471550703
IgnacioF,81,+,78,9.2074239254
IgnacioF,4,+,22,4.0999209881
IgnacioF,20,+,27,4.2914252281
IgnacioF,53,+,79,23.5764951706
IgnacioF,95,/,6,21.4531950951
IgnacioF,38,*,4,25.4014399052
IgnacioF,87,*,23,74.3257973194
IgnacioF,53,+,23,4.6854860783
IgnacioF,42,+,20,6.5164535046
IgnacioF,62,*,69,50.975992918
IgnacioF,27,-,32,4.978136301
IgnacioF,51,-,37,5.7039904594
IgnacioF,25,-,6,3.365219593
IgnacioF,4,+,40,2.8093907833
IgnacioF,46,/,49,3.3460993767
IgnacioF,50,-,38,3.5528094769
IgnacioF,20,*,9,9.0908868313
IgnacioF,24,*,4,8.4833381176
IgnacioF,47,+,58,9.2141888142
IgnacioF,40,-,49,4.2844049931
IgnacioF,51,/,90,2.6343402863
IgnacioF,32,-,90,18.99619627
IgnacioF,37,+,16,7.5868742466
IgnacioF,41,+,97,10.0937399864
IgnacioF,10,*,37,6.3395245075
IgnacioF,38,/,31,3.9726846218
IgnacioF,6,/,5,3.4605746269
IgnacioF,90,-,9,4.521856308
IgnacioF,39,/,62,3.4655075073
IgnacioF,96,*,40,30.8239529133
IgnacioF,94,+,74,6.6607449055
IgnacioF,92,/,63,2.6910266876
IgnacioF,56,*,32,61.5344538689
IgnacioF,99,/,93,2.5783901215
IgnacioF,33,/,83,3.3979377747
IgnacioF,58,*,5,17.2382228374
IgnacioF,47,/,10,4.4826498032
IgnacioF,66,-,70,3.6748270988
IgnacioF,67,+,89,8.5266783237
IgnacioF,43,+,93,7.306135416
IgnacioF,78,+,90,5.5634865761
IgnacioF,54,*,64,125.1226782799
IgnacioF,24,/,45,3.3179514408
IgnacioF,95,*,48,90.3199775219
IgnacioF,87,-,91,12.0344669819
IgnacioF,99,-,92,8.1090123653
IgnacioF,98,*,80,33.5694069862
IgnacioF,48,-,82,24.6377978325
IgnacioF,13,+,71,13.5641467571
IgnacioF,43,*,46,79.1062200069
IgnacioF,98,-,98,3.5770833492
IgnacioF,52,/,27,7.1721279621
IgnacioF,33,+,89,13.1475286484
IgnacioF,45,-,85,5.2081539631
IgnacioF,92,*,45,57.1290779114
IgnacioF,2,*,81,4.8305361271
IgnacioF,74,-,36,7.4391400814
IgnacioF,23,+,45,4.1383159161
IgnacioF,90,-,34,5.2185041904
IgnacioF,79,+,86,10.1923029423
IgnacioF,19,*,50,16.6329779625
IgnacioF,36,+,37,12.7600986958
IgnacioF,73,-,68,4.8123617172
IgnacioF,67,-,15,5.0054471493
IgnacioF,45,+,47,5.2315883636
IgnacioF,61,-,5,11.2292189598
IgnacioF,68,+,64,12.4700284004
IgnacioF,43,/,29,3.048281908
IgnacioF,64,-,12,15.3715500832
IgnacioF,7,-,77,4.3801484108
IgnacioF,59,/,91,5.3605890274
IgnacioF,62,/,99,2.394046545
IgnacioF,4,+,71,3.2134320736
IgnacioF,35,-,19,8.6180317402
IgnacioF,1,+,6,2.2714240551
IgnacioF,25,-,17,9.170443058
IgnacioF,56,*,30,21.2927017212
IgnacioF,36,*,20,13.507194519
IgnacioF,64,*,34,38.8026499748
IgnacioF,14,-,28,3.7769393921
IgnacioF,33,/,14,4.1378700733
IgnacioF,84,*,28,135.3316073418
IgnacioF,64,-,67,3.255515337
IgnacioF,10,/,61,2.854134798
IgnacioF,68,-,40,5.6941099167
IgnacioF,55,*,95,81.9888622761
IgnacioF,67,-,37,8.0359640121
IgnacioF,93,-,65,18.757414341
IgnacioF,51,/,12,4.4807105064
IgnacioF,52,/,77,2.5908651352
IgnacioF,66,+,8,9.1932766438
IgnacioF,22,-,73,7.6843402386
IgnacioF,30,*,48,43.1058106422
IgnacioF,75,+,72,8.7704064846
IgnacioF,15,-,18,2.6813156605
IgnacioF,58,-,16,10.6672611237
IgnacioF,83,/,84,2.9465854168
IgnacioF,3,-,68,8.6923606396
IgnacioF,55,+,83,10.4431877136
IgnacioF,47,-,19,20.3510398865
IgnacioF,46,+,90,4.742459774
IgnacioF,5,/,54,2.479970932
IgnacioF,29,+,6,4.1576197147
IgnacioF,35,-,92,12.0025207996
IgnacioF,14,+,34,4.6195127964
IgnacioF,51,+,85,5.8850102425
IgnacioF,33,/,15,3.1368772984
IgnacioF,50,*,53,46.9941468239
IgnacioF,10,/,95,3.7649233341
